tag,class,depth,text_length,has_img,label
a,footerLinksColumnListItem-YEcDt_jj,14,15,False,unlabeled
li,,13,17,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,17,False,unlabeled
html,is-not-authenticated,1,5912,True,unlabeled
head,,2,111,False,unlabeled
title,,3,111,False,unlabeled
body,,2,5801,True,unlabeled
div,tv-main,3,5801,True,unlabeled
div,tv-header,4,54,True,unlabeled
div,tv-header__inner,5,54,True,unlabeled
div,tv-header__middle-wrapper,6,41,False,unlabeled
div,tv-header__middle-content,7,41,False,unlabeled
nav,tv-header__area,8,35,False,unlabeled
ul,tv-header__main-menu,9,35,False,unlabeled
div,tv-header__area,6,13,True,unlabeled
div,js-offer-button,7,11,False,unlabeled
div,tv-header__offer-button-container,8,11,False,unlabeled
a,tv-header__offer-button,9,11,False,unlabeled
span,apply-overflow-tooltip,10,11,False,unlabeled
span,children-LHcKxrzD,11,11,False,unlabeled
span,tv-header__offer-button-title,12,11,False,unlabeled
main,tv-content,4,4303,True,unlabeled
div,js-publication-view,5,4303,True,unlabeled
div,root-aqIxarm1,6,4303,True,unlabeled
div,layout-aqIxarm1,7,4303,True,unlabeled
div,headerAndMedia-aqIxarm1,8,112,True,unlabeled
div,header-aqIxarm1,9,51,True,unlabeled
div,root-tazsg7p7,10,51,True,unlabeled
a,root-cTRMUBvs,11,27,True,unlabeled
span,name-cTRMUBvs,12,27,False,unlabeled
span,nameLabel-cTRMUBvs,13,27,False,unlabeled
span,time-tazsg7p7,11,19,False,unlabeled
relative-time,,12,12,False,unlabeled
time,,13,12,False,unlabeled
h1,title-aqIxarm1,9,61,False,title
div,content-aqIxarm1,8,4191,True,unlabeled
div,root-r2SckERE,9,41,False,unlabeled
button,root-J3sr1R8Q,10,30,False,unlabeled
span,content-bYDQcOkp,11,30,False,unlabeled
span,ellipsisContainer-bYDQcOkp,12,15,False,unlabeled
span,visuallyHidden-bYDQcOkp,12,15,False,unlabeled
div,description-aqIxarm1,9,2256,True,unlabeled
div,timeline-kNbZVa7x,10,2256,True,unlabeled
div,timelineItem-kNbZVa7x,11,1922,True,unlabeled
div,content-kNbZVa7x,12,10,False,unlabeled
div,time-jmcEf9lP,13,10,False,unlabeled
relative-time,date-_PPhhqv6,14,10,False,unlabeled
time,,15,10,False,unlabeled
div,content-kNbZVa7x,12,1912,True,unlabeled
div,update-_PPhhqv6,13,1912,True,unlabeled
span,ast-_PPhhqv6,14,1912,True,content
span,,15,108,False,unlabeled
span,,15,314,False,unlabeled
span,,15,18,False,unlabeled
span,,15,126,False,unlabeled
span,,15,64,False,unlabeled
span,,15,208,False,unlabeled
span,,15,17,False,unlabeled
span,,15,125,False,unlabeled
span,,15,154,False,unlabeled
span,,15,15,False,unlabeled
span,,15,103,False,unlabeled
span,,15,235,False,unlabeled
span,,15,377,False,unlabeled
span,,15,40,False,unlabeled
div,timelineItem-kNbZVa7x,11,334,True,unlabeled
div,content-kNbZVa7x,12,12,False,unlabeled
div,time-jmcEf9lP,13,12,False,unlabeled
relative-time,date-_PPhhqv6,14,12,False,unlabeled
time,,15,12,False,unlabeled
div,content-kNbZVa7x,12,322,True,unlabeled
div,update-_PPhhqv6,13,322,True,unlabeled
div,label-_PPhhqv6,14,12,False,unlabeled
span,ast-_PPhhqv6,14,310,True,content
span,,15,114,False,unlabeled
span,,15,196,False,unlabeled
div,contentMetaInfoDesktop-aqIxarm1,9,947,True,unlabeled
section,,10,238,True,unlabeled
div,author-eECqzU6v,11,18,True,unlabeled
div,author-XLisM0fn,12,12,True,unlabeled
a,link-XLisM0fn,13,12,True,unlabeled
div,usernameOutline-XLisM0fn,14,12,False,unlabeled
div,username-XLisM0fn,15,12,False,unlabeled
div,signature-eECqzU6v,11,212,False,unlabeled
span,,12,212,False,unlabeled
span,,13,35,False,unlabeled
a,root-t974qRRv,13,22,False,unlabeled
span,text-t974qRRv,14,22,False,unlabeled
span,,13,36,False,unlabeled
span,,13,29,False,unlabeled
a,root-t974qRRv,13,28,False,unlabeled
span,text-t974qRRv,14,28,False,unlabeled
span,,13,36,False,unlabeled
a,root-t974qRRv,13,14,False,unlabeled
span,text-t974qRRv,14,14,False,unlabeled
span,,13,12,False,unlabeled
section,root-lxExxEni,10,108,False,unlabeled
a,tag-zVPYJd3B,11,24,False,unlabeled
span,tag-text-rVj4hiuX,12,24,False,unlabeled
a,tag-zVPYJd3B,11,12,False,unlabeled
span,tag-text-rVj4hiuX,12,12,False,unlabeled
a,tag-zVPYJd3B,11,14,False,unlabeled
span,tag-text-rVj4hiuX,12,14,False,unlabeled
a,tag-zVPYJd3B,11,20,False,unlabeled
span,tag-text-rVj4hiuX,12,20,False,unlabeled
a,tag-zVPYJd3B,11,14,False,unlabeled
span,tag-text-rVj4hiuX,12,14,False,unlabeled
section,root-L_oHSRU2,10,372,False,unlabeled
h2,title-L_oHSRU2,11,20,False,unlabeled
article,root-zXq8Ue0Y,11,78,False,unlabeled
div,content-zXq8Ue0Y,12,78,False,unlabeled
a,titleLink-zXq8Ue0Y,13,63,False,unlabeled
h3,titleText-zXq8Ue0Y,14,63,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,59,False,unlabeled
div,content-zXq8Ue0Y,12,59,False,unlabeled
a,titleLink-zXq8Ue0Y,13,44,False,unlabeled
h3,titleText-zXq8Ue0Y,14,44,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,64,False,unlabeled
div,content-zXq8Ue0Y,12,64,False,unlabeled
a,titleLink-zXq8Ue0Y,13,49,False,unlabeled
h3,titleText-zXq8Ue0Y,14,49,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,77,False,unlabeled
div,content-zXq8Ue0Y,12,77,False,unlabeled
a,titleLink-zXq8Ue0Y,13,62,False,unlabeled
h3,titleText-zXq8Ue0Y,14,62,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,74,False,unlabeled
div,content-zXq8Ue0Y,12,74,False,unlabeled
a,titleLink-zXq8Ue0Y,13,59,False,unlabeled
h3,titleText-zXq8Ue0Y,14,59,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
div,disclaimerDesktop-aqIxarm1,10,229,False,unlabeled
h2,heading-AgvfhFF8,11,10,False,unlabeled
div,content-AgvfhFF8,11,219,False,unlabeled
a,primary-zW9yIafV,12,12,False,unlabeled
div,contentMetaInfoMobile-aqIxarm1,9,718,True,unlabeled
section,root-lxExxEni,10,108,False,unlabeled
a,tag-zVPYJd3B,11,24,False,unlabeled
span,tag-text-rVj4hiuX,12,24,False,unlabeled
a,tag-zVPYJd3B,11,12,False,unlabeled
span,tag-text-rVj4hiuX,12,12,False,unlabeled
a,tag-zVPYJd3B,11,14,False,unlabeled
span,tag-text-rVj4hiuX,12,14,False,unlabeled
a,tag-zVPYJd3B,11,20,False,unlabeled
span,tag-text-rVj4hiuX,12,20,False,unlabeled
a,tag-zVPYJd3B,11,14,False,unlabeled
span,tag-text-rVj4hiuX,12,14,False,unlabeled
div,signatureMobile-aqIxarm1,10,238,True,unlabeled
section,contentfulRoot-oy6kGVg7,11,238,True,unlabeled
div,author-oy6kGVg7,12,18,True,unlabeled
div,author-XLisM0fn,13,12,True,unlabeled
a,link-XLisM0fn,14,12,True,unlabeled
div,usernameOutline-XLisM0fn,15,12,False,unlabeled
div,username-XLisM0fn,16,12,False,unlabeled
div,signature-oy6kGVg7,12,212,False,unlabeled
span,,13,212,False,unlabeled
span,,14,35,False,unlabeled
a,root-t974qRRv,14,22,False,unlabeled
span,text-t974qRRv,15,22,False,unlabeled
span,,14,36,False,unlabeled
span,,14,29,False,unlabeled
a,root-t974qRRv,14,28,False,unlabeled
span,text-t974qRRv,15,28,False,unlabeled
span,,14,36,False,unlabeled
a,root-t974qRRv,14,14,False,unlabeled
span,text-t974qRRv,15,14,False,unlabeled
span,,14,12,False,unlabeled
section,root-L_oHSRU2,10,372,False,unlabeled
h2,title-L_oHSRU2,11,20,False,unlabeled
article,root-zXq8Ue0Y,11,78,False,unlabeled
div,content-zXq8Ue0Y,12,78,False,unlabeled
a,titleLink-zXq8Ue0Y,13,63,False,unlabeled
h3,titleText-zXq8Ue0Y,14,63,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,59,False,unlabeled
div,content-zXq8Ue0Y,12,59,False,unlabeled
a,titleLink-zXq8Ue0Y,13,44,False,unlabeled
h3,titleText-zXq8Ue0Y,14,44,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,64,False,unlabeled
div,content-zXq8Ue0Y,12,64,False,unlabeled
a,titleLink-zXq8Ue0Y,13,49,False,unlabeled
h3,titleText-zXq8Ue0Y,14,49,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,77,False,unlabeled
div,content-zXq8Ue0Y,12,77,False,unlabeled
a,titleLink-zXq8Ue0Y,13,62,False,unlabeled
h3,titleText-zXq8Ue0Y,14,62,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
article,root-zXq8Ue0Y,11,74,False,unlabeled
div,content-zXq8Ue0Y,12,74,False,unlabeled
a,titleLink-zXq8Ue0Y,13,59,False,unlabeled
h3,titleText-zXq8Ue0Y,14,59,False,unlabeled
div,authorship-zXq8Ue0Y,13,15,False,unlabeled
span,,14,15,False,unlabeled
a,author-zXq8Ue0Y,15,15,False,unlabeled
div,disclaimerMobile-aqIxarm1,9,229,False,unlabeled
h2,heading-AgvfhFF8,10,10,False,unlabeled
div,content-AgvfhFF8,10,219,False,unlabeled
a,primary-zW9yIafV,11,12,False,unlabeled
footer,tv-footer,4,1444,True,unlabeled
div,js-promo-footer-init-ssr,5,1444,True,unlabeled
div,root-uKAlzXxC,6,1444,True,unlabeled
div,container-uKAlzXxC,7,1444,True,unlabeled
div,content-uKAlzXxC,8,1444,False,unlabeled
div,,9,175,False,unlabeled
div,copyrightContainer-uKAlzXxC,10,175,False,unlabeled
button,languageButton-uKAlzXxC,11,14,False,unlabeled
span,content-bYDQcOkp,12,14,False,unlabeled
p,copyright-uKAlzXxC,11,161,False,unlabeled
span,,12,48,False,unlabeled
a,textLink-uKAlzXxC,13,18,False,unlabeled
span,,12,89,False,unlabeled
span,,12,24,False,unlabeled
div,footerLinks-YEcDt_jj,9,1269,False,unlabeled
div,footerLinksGroup-YEcDt_jj,10,373,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,30,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,19,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,11,False,unlabeled
li,,13,11,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,11,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,58,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,49,False,unlabeled
li,,13,12,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,12,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,24,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,16,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,34,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,25,False,unlabeled
